"Página","Selector","Origen","ID","Descripción","Impacto","WCAG","Solución","Ayuda (URL)"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria-a-maspalomas","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria-a-playa-ingles","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria-a-puerto-de-mogan","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria-a-puerto-rico","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-gran-canaria/destinations","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-hurghada","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-hurghada-a-el-gouna","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-hurghada-a-festival-riviera-hurghada","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-hurghada-a-hurghada","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
"https://www.suntransfers.com/es/aeropuerto-de-hurghada-a-makadi-bay","body","sitemap","color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","serious","cat.color, wcag2aa, wcag143, TTv5, TT13.c, EN-301-549, EN-9.1.4.3, ACT, RGAAv4, RGAA-3.2.1","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI"
